title,artist,peak_position,total_weeks,first_chart_date,main_genre,all_genres,genre_source
LoveDrug,Lady Gaga,95,1,2025-03-22,Rock,pop; dance-pop; electropop; pop rock; electronic,musicbrainz
Me Prometi,Ivan Cornejo,95,1,2025-05-17,Regional Mexicano,regional mexicano,musicbrainz
Type Dangerous,Mariah Carey,95,1,2025-06-21,Hip Hop/Rap,pop; hip hop; funk; soul; ballad,musicbrainz
M.T.B.T.T.F.,Clipse,95,1,2025-07-26,Hip Hop/Rap,coke rap; hip hop,musicbrainz
Love Hangover,JENNIE & Dominic Fike,96,1,2025-02-15,Unknown,No genre data,none
Walk,Playboi Carti,96,1,2025-03-29,Hip Hop/Rap,hip hop; trap; rap; southern hip hop; cloud rap,musicbrainz
Keep On Sippin',Lil Durk,96,1,2025-04-12,Hip Hop/Rap,hip hop; chicago drill; drill; english; pop rap,musicbrainz
Actin Up,Tommy Richman,96,1,2025-05-03,Electronic/Dance,house,musicbrainz
Verano Rosa,Karol G & Feid,96,1,2025-07-05,R&B,reggaeton; latin urban; spanish; latin; r&b,musicbrainz
Illegal,PinkPantheress,96,1,2025-07-19,Electronic/Dance,dance-pop; electronic; pop; breaks; uk garage,musicbrainz
What An Awesome God,Phil Wickham,96,3,2025-10-11,Contemporary Christian,contemporary christian,musicbrainz
Baller,"Summer Walker, Glorilla, Sexyy Red & Monaleo",96,1,2025-11-29,Hip Hop/Rap,pop; hip hop; funk; soul; swing,musicbrainz
Stoned,Mac Miller,97,1,2025-02-01,Hip Hop/Rap,hip hop; pennsylvania,musicbrainz
Sunset Blvd,Selena Gomez & Benny Blanco,97,1,2025-04-05,Electronic/Dance,dance-pop; pop; electro house; electropop; teen pop,musicbrainz
Not At This Party,Dasha,97,1,2025-04-26,Country,contemporary pop/rock; contemporary singer/songwriter; country; country pop; dance-pop,musicbrainz
King Carter,Lil Wayne,97,1,2025-06-21,Hip Hop/Rap,hip hop; southern hip hop; gangsta rap; pop rap; r&b,musicbrainz
A Lot More Free,Max McNown,97,1,2025-08-16,Unknown,No genre data,none
Let Alone The One You Love,Olivia Dean,97,1,2025-11-29,R&B,2020s; indie pop; neo soul; pop soul,musicbrainz
Country House,Sam Hunt,98,1,2025-07-19,Country,country pop; country; bro-country; contemporary country; contemporary r&b,musicbrainz
South Of Sanity,Zach Top,98,1,2025-09-13,Country,bluegrass; country; neo-traditional country,musicbrainz
Losin' Streak,Blake Roman,98,1,2025-11-29,Soundtrack,soundtrack,musicbrainz
Free Promo,Lil Baby,99,1,2025-01-18,Unknown,No genre data,none
Greenlight,Tate McRae,99,1,2025-03-08,R&B,pop; 2020s; dance-pop; alternative pop; contemporary r&b,musicbrainz
Ribs,Lorde,99,2,2025-05-10,Pop,pop; alternative pop; indie pop; synth-pop; art pop,musicbrainz
Many Nights,Gunna,99,1,2025-08-23,Hip Hop/Rap,hip hop; pop rap; southern hip hop; trap,musicbrainz
3am,Loe Shimmy & Don Toliver,99,3,2025-11-01,Unknown,No genre data,none
Cowboy Songs,George Birge,100,1,2025-01-11,Unknown,No genre data,none
Infinite Baths,Sleep Token,100,1,2025-05-24,Rock,alternative metal; rock; progressive metal; alternative pop,musicbrainz
Now And At The Hour Of Our Death..,$uicideboy$ X BONES,100,1,2025-08-16,Unknown,No genre data,none
